date,headline,href,summary
2018-01-18-15-18,Why People Dislike Really Smart Leaders,https://www.scientificamerican.com/article/why-people-dislike-really-smart-leaders/,"Those with an IQ above 120 are perceived as less effective, regardless of actual performance"
2018-01-18-17-55,Scientists Move Closer to a Universal Flu Vaccine,https://www.scientificamerican.com/article/scientists-move-closer-to-a-universal-flu-vaccine/,"Researchers hope their new approach, which works well in lab animals, may save more lives"
